"COD UNIDADE ORGANIZACIONAL";"DESCRICAO UNIDADE ORGANIZACIONAL";"VP";"DIRETORIA";"AREA ATENDIMENTO"
"2377";"DML - 617 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2462";"DML - 78 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1796";"MG EQUIPE PRODUCAO - T1";"PRESIDENCIA";"LOGISTICA";""
"1664";"SUP MG SUL 2";"VP COMERCIAL";"VENDAS";""
"2187";"EQUIPE ADMINISTRACAO DE PESSOAL - SAUDE OCUPACIONAL";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"2636";"ROS - 373 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2286";"DML - 601 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3357";"DML - 72 - SUBGERENTE";"VP VAREJO";"OPERACOES VAREJO";""
"2510";"DML - 38 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"25";"EQUIPE PROJETOS TI";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"3764";"SPC EQUIPE GPP E GR SPECIALTY";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2457";"DML - 66 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2072";"CANAIS EQUIPES";"VP COMERCIAL";"PLANEJAMENTO DE VENDAS";""
"2738";"ROS - 402 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3181";"EQUIPE GOVERNANCA VAREJO";"VP VAREJO";"VP VAREJO";""
"2790";"ROS - 384 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1499";"SUP CONTAS ES";"VP COMERCIAL";"VENDAS";""
"2743";"ROS - 310 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3688";"PR GER OPERACOES";"PRESIDENCIA ";"LOGISTICA";""
"352";"GER CONTAS NACIONAIS";"VP COMERCIAL";"VENDAS";""
"2359";"DML - 69 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2166";"RJ ENCARREGADO CRDK - T1";"PRESIDENCIA";"LOGISTICA";""
"2942";"TMO - 127 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3232";"COORD SISTEMA DISTRIBUICAO 2";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"1820";"MG EQUIPE D&E - T3";"PRESIDENCIA";"LOGISTICA";""
"3002";"TMO - 131 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1970";"EQUIPES BA 4";"VP COMERCIAL";"VENDAS";""
"151";"GER IM/GC";"PRESIDENCIA";"SUPPLY CHAIN";""
"3378";"TMO - 222 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2027";"EQUIPE PLANEJAMENTO FINANCEIRO DIST";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2143";"SUP CONTAS SUL";"VP COMERCIAL";"VENDAS";""
"3756";"TMO - 235 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3393";"ROS - 337 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2074";"NEGOCIACAO DE VENDAS EQUIPES";"VP COMERCIAL";"PLANEJAMENTO VENDAS";""
"1672";"SUP SPI 3";"VP COMERCIAL";"VENDAS";""
"3382";"DML - 628 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2366";"DML - 30 - SUBGERENTE";"VP VAREJO";"OPERACOES VAREJO";""
"2150";"SUP REDES RJ";"VP COMERCIAL";"VENDAS";""
"3485";"ENCARREGADO RJ 3";"VP VAREJO";"OPERACOES LOJAS";""
"3078";"TMO - 151 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2940";"TMO - 121 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"23";"COORD SISTEMAS GRUPO 1";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"3157";"DML - 48 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2288";"DML - 612 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2411";"DML - 72 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1940";"EQUIPES SC 2";"VP COMERCIAL";"VENDAS";""
"171";"GER HB/OTC TRADE MARKETING";"VP VAREJO";"COMERCIAL VAREJO";""
"180";"GER EXPANSAO";"VP VAREJO";"OPERACOES VAREJO";""
"1467";"FINANCEIRA DISTRIBUICAO RECEBIVEIS/COBRANCA/BLOQ";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
