"COD UNIDADE ORGANIZACIONAL";"DESCRICAO UNIDADE ORGANIZACIONAL";"VP";"DIRETORIA";"AREA ATENDIMENTO"
"2518";"DML - 621 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3206";"TIME DIRETOS JURIDICO";"VP CORPORATIVA";"JURIDICO";""
"1898";"BA EQUIPE CRDK - T2";"PRESIDENCIA";"LOGISTICA";""
"3513";"PE EQUIPE FACILITIES";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3365";"ROS - 370 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3275";"RJ ENCARREGADO M&A - T1";"PRESIDENCIA";"LOGISTICA";""
"3664";"SPC ENC SPECIALTY";"VP SPECIALTY";"VP SPECIALTY";""
"2391";"DML - 69 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1870";"PB EQUIPE FATURAMENTO";"PRESIDENCIA";"LOGISTICA";""
"1505";"COORD LOGISTICA PLANEJAMENTO";"PRESIDENCIA";"LOGISTICA";""
"2003";"SUPORTE EQUIPES EXCLUSIVAS";"VP COMERCIAL";"VENDAS";""
"2525";"ROS - 315 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2122";"COORD TRABALHISTA";"VP ESTRATEGIA E FINANCAS";"JURIDICO";""
"2382";"DML - 30 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2977";"TMO - 104 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3290";"SUP SERVICOS A CLIENTES CD";"VP COMERCIAL";"MARKETING";""
"1722";"DF ENCARREGADO LINHA 3 - T1";"PRESIDENCIA";"LOGISTICA";""
"2251";"DML - 97 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"100";"GER CONTROLADORIA VAREJO";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"2350";"DML - 30 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2736";"ROS - 310 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2209";"GER FACILITIES DIST";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2620";"ROS - 317 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2766";"ROS - 352 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1582";"SPC EQUIPE BLOQ";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"1684";"SUP RN";"VP COMERCIAL";"VENDAS";""
"179";"GER REGULATORIO";"VP VAREJO";"OPERACOES VAREJO";""
"2760";"ROS - 334 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3117";"DML - 40 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3654";"TMO - 223 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3673";"DML - 643 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1992";"RS - ASSOCIATIVISMO";"VP COMERCIAL";"VENDAS";""
"2103";"MT EQUIPE BLOQ";"PRESIDENCIA";"LOGISTICA";""
"3212";"EQUIPE SELL OUT 2";"VP VAREJO";"COMERCIAL VAREJO";""
"2855";"TMO - 116 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3375";"ROS - 414 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3037";"TMO - 118 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1501";"PLANEJAMENTO LOGISTICO (CRDK/FOB)";"PRESIDENCIA";"LOGISTICA";""
"123";"EQUIPE DESENVOLVIMENTO ORGANIZACIONAL";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2569";"ROS - 448 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"3618";"TMO - 225 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2886";"TMO - 159 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2572";"ROS - 305 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3472";"TO EQUIPE OPERACOES";"PRESIDENCIA";"LOGISTICA";""
"3225";"EQUIPE FARMACEUTICO ROSARIO";"VP ESTRATEGIA E FINANCAS";"TRIBUTARIA E FISCAL";""
"2714";"ROS - 310 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3371";"ROS - 466 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3704";"EQUIPE COMERCIAL SPECIALTY (CAMPO)";"VP SPECIALTY";"SPECIALTY";""
"1744";"RS EQUIPE GR";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"1551";"RJ ENCARREGADO ABASTECIMENTO - T3";"PRESIDENCIA";"LOGISTICA";""
"3635";"TMO - 226 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2607";"ROS - 354 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1667";"SUP SPC 3";"VP COMERCIAL";"VENDAS";""
"2104";"MT EQUIPE CUSTOS";"PRESIDENCIA";"LOGISTICA";""
"2046";"DIVISIONAL RJ/ES/MG - EQUIPE";"VP COMERCIAL";"VENDAS";""
"2245";"GER PLANEJAMENTO FINANCEIRO DIST";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2425";"DML - 29 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"1757";"RS EQUIPE PICKING - T3";"PRESIDENCIA";"LOGISTICA";""
"1718";"DF ENCARREGADO RECEBIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"109";"EQUIPE PLANEJAMENTO FINANCEIRO VAREJO";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"117";"GER BP VAREJO";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"1765";"PR EQUIPE GPP";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2578";"ROS - 319 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3364";"ROS - 337 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1907";"RJ ENCARREGADO RECEBIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"1900";"BA EQUIPE D&E - T1";"PRESIDENCIA";"LOGISTICA";""
"3646";"TMO - 227 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2130";"DIRETORIA TI DISTRIBUICAO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"1527";"RJ ENCARREGADO ARMAZENAGEM - T1";"PRESIDENCIA";"LOGISTICA";""
"432";"SPC EQUIPE PICKING - T2";"PRESIDENCIA";"LOGISTICA";""
"2516";"DML - 611 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3627";"DML - 639 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2422";"DML - 14 - SUBGERENTE";"VP VAREJO";"OPERACOES VAREJO";""
"1447";"SERVICOS A CLIENTES CD";"VP COMERCIAL";"MARKETING";""
"3617";"TMO - 225 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2168";"GER SUPPLY CHAIN DEMANDA 2";"PRESIDENCIA";"SUPPLY CHAIN";""
"2883";"TMO - 146 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2155";"SUP REDES SP 2";"VP COMERCIAL";"VENDAS";""
"3070";"TMO - 122 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1869";"PB EQUIPE CUSTOS";"PRESIDENCIA";"LOGISTICA";""
"1350";"GER EXCELENCIA OPERACIONAL";"PRESIDENCIA";"LOGISTICA";""
"3161";"DML - 20 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1705";"GO EQUIPE PICKING/CONFERENCIA - T3";"PRESIDENCIA";"LOGISTICA";""
"42";"COORD TESOURARIA";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"1981";"EQUIPE REDES SPI";"VP COMERCIAL";"VENDAS";""
"2255";"DML - 91 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3803";"SPC EQUIPE GPP ADM";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2975";"TMO - 185 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3306";"RN EQUIPE FACILITIES";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2659";"ROS - 373 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1858";"PB SUP OPERACOES";"PRESIDENCIA";"LOGISTICA";""
"1768";"PR EQUIPE DEVOLUCAO";"PRESIDENCIA";"LOGISTICA";""
"3681";"DF ENCARREGADO PICKING LOOP 1 E 2";"PRESIDENCIA";"LOGISTICA";""
"2796";"ROS - 334 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2586";"ROS - 366 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"80";"PROJETOS VP CORPORATIVA";"VP CORPORATIVA";"VP CORPORATIVA";""
"67";"FACILITIES - SERVICOS GERAIS";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"2696";"ROS - 332 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2139";"GER REDES RJ e CO";"VP COMERCIAL";"VENDAS";""
"2131";"EQUIPE HOSPITALAR SEDE";"VP COMERCIAL";"VENDAS";""
"1837";"AL EQUIPE BLOQ";"PRESIDENCIA";"LOGISTICA";""
"3151";"ROS - 464 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2735";"ROS - 461 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3248";"GER REDES SUL";"VP COMERCIAL";"VENDAS";""
"2503";"DML - 10 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3374";"ROS - 415 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3538";"MED - SAUDE OCUPACIONAL";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"2679";"ROS - 380 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3786";"TMO - 236 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"18";"GER DESENVOLVIMENTO VAREJO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2197";"EQUIPE (GER GPP/GRE FACILITIES)";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"1887";"BA SUP D&E";"PRESIDENCIA";"LOGISTICA";""
"2622";"ROS - 329 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2324";"DML - 609 - SUBGERENTE";"VP VAREJO";"OPERACOES VAREJO";""
"2941";"TMO - 125 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2479";"DML - 62 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"53";"BP DISTRIBUIÇÃO";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"1828";"PE M&A QUALIDADE";"PRESIDENCIA";"LOGISTICA";""
"2212";"EQUIPES REDES PE";"VP COMERCIAL";"VENDAS";""
"3579";"GER CALL CENTER";"VP SPECIALTY";"VP SPECIALTY";""
"354";"SUP CONTAS NACIONAIS";"VP COMERCIAL";"VENDAS";""
"3510";"DML - 632 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"1833";"PE EQUIPE M&A - T2";"PRESIDENCIA";"LOGISTICA";""
"3488";"EQUIPE SUPORTE VAREJO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"190";"GER REGIONAL DML/FML 3";"VP VAREJO";"OPERACOES VAREJO";""
"1425";"SISTEMAS DISTRIBUICAO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2445";"DML - 11 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3267";"SUPERINTENDENCIA ADMINISTRATIVA";"VP CORPORATIVA";"CENTRO SERVICOS COMPARTILHADOS";""
"2873";"TMO - 111 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1578";"SPC EQUIPE RECONFERENCIA - T2";"PRESIDENCIA";"LOGISTICA";""
"1635";"GER RJ/ES";"VP COMERCIAL";"VENDAS";""
"2210";"SUP REDES E CONTAS PE";"VP COMERCIAL";"VENDAS";""
"3531";"EQUIPE INFRAESTRUTURA DISTRIBUICAO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"3754";"TMO - 234 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1446";"CANAIS DIGITAIS";"VP COMERCIAL";"MARKETING";""
"1481";"RJ SUP FACILITIES";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2195";"EQUIPE DIRETA SUPRIMENTOS";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"3105";"ENCARREGADO DF 1";"VP VAREJO";"OPERACOES LOJAS";""
"2170";"GER REGIONAL OPERACOES CRDK/FOB";"PRESIDENCIA";"LOGISTICA";""
"3389";"ROS - 366 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2968";"TMO - 138 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3444";"EQUIPE EXPANSAO 1";"VP VAREJO";"OPERACOES VAREJO";""
"2626";"ROS - 346 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2601";"ROS - 341 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2182";"SUP MG - BH";"VP COMERCIAL";"VENDAS";""
"3360";"ROS - 366 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1618";"SPI EQUIPE DEVOLUCAO";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"223";"GER SUPPLY CHAIN GESTAO DE PEDIDOS";"PRESIDENCIA";"SUPPLY CHAIN";""
"334";"GER TRADE MARKETING";"VP COMERCIAL";"MARKETING";""
"1709";"GO EQUIPE D&E - T1";"PRESIDENCIA";"LOGISTICA";""
"2384";"DML - 32 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3517";"ENCARREGADO VENDAS 100%";"VP COMERCIAL";"VENDAS";""
"2939";"TMO - 118 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2689";"ROS - 309 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2568";"ROS - 447 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2429";"DML - 45 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2892";"TMO - 103 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"3577";"GER LOGISTICA/OPERACOES";"VP SPECIALTY";"VP SPECIALTY";""
"3191";"COORD SAC VAREJO";"VP VAREJO";"MARKETING VAREJO";""
"2672";"ROS - 332 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2369";"DML - 41 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3732";"ROS - 390 - EQUIPE/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2716";"ROS - 313 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"12";"SUPERINTENDENCIA FINANCEIRA";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"3637";"TMO - 226 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1404";"EQUIPE GS PERFORMANCE";"VP CORPORATIVA";"CENTRO SERVICOS COMPARTILHADOS";""
"3556";"DML - 637 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3255";"EQUIPE CONSULTORIA PROJETO";"PRESIDENCIA";"PRESIDENCIA";""
"2108";"MT AUTOMACAO";"PRESIDENCIA";"LOGISTICA";""
"1982";"CONTAS RJ";"VP COMERCIAL";"VENDAS";""
"2191";"RJ ENCARREGADO GPP";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2333";"DML - 39 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3198";"GER PRECIFICACAO VAREJO";"VP VAREJO";"COMERCIAL VAREJO";""
"3311";"ES ENCARREGADO RECEBIMENTO - 02";"PRESIDENCIA";"LOGISTICA";""
"3283";"RJ M&A - T1";"PRESIDENCIA";"LOGISTICA";""
"1450";"GER MARKETING (COMUNICACAO/EVENTOS)";"VP COMERCIAL";"MARKETING";""
"1730";"DF EQUIPE D&E - T1";"PRESIDENCIA";"LOGISTICA";""
"2801";"ROS - 347 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1951";"EQUIPES RJ 3";"VP COMERCIAL";"VENDAS";""
"2417";"DML - 623 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2839";"TMO - 158 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2543";"ROS - 447 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1426";"SUP SUPORTE CDs";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"462";"SPC SUP D&E";"PRESIDENCIA";"LOGISTICA";""
"1649";"SUP GO 1";"VP COMERCIAL";"VENDAS";""
"3573";"DIRETORIA OPERACOES SPECIALTY";"VP SPECIALTY";"VP SPECIALTY";""
"3335";"ROS - 337 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3339";"ROS - 465 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1675";"SUP BA 2";"VP COMERCIAL";"VENDAS";""
"1965";"EQUIPES SPI 3";"VP COMERCIAL";"VENDAS";""
"3705";"COORD - LOCAFARMA";"PRESIDENCIA";"LOGISTICA";""
"1640";"GER DIVISIONAL NE e CO";"VP COMERCIAL";"VENDAS";""
"1589";"SPC EQUIPE MANUTENCAO PREDIAL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2106";"MT EQUIPE GR";"PRESIDENCIA";"LOGISTICA";""
"1449";"SERVICOS A CLIENTES SEDE (GER)";"VP COMERCIAL";"MARKETING";""
"2528";"ROS - 319 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1859";"PB EQUIPE M&A QUALIDADE";"PRESIDENCIA";"LOGISTICA";""
"1873";"PB EQUIPE MANUTENCAO PREDIAL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3222";"EQUIPE REGIONAL TAMOIO VAREJO";"VP VAREJO";"OPERACOES VAREJO";""
"2874";"TMO - 119 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2850";"TMO - 194 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2496";"DML - 62 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"37";"COORD ADMINISTRATIVO";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"65";"EQUIPE CADASTRO";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"1432";"EQUIPE SEGURANCA DA INFORMACAO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"1393";"COORD RESPONSABILIDADE SOCIAL";"PRESIDENCIA";"ESG";""
"3327";"DML - 627 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1803";"MG ENCARREGADO CONFERENCIA - T3";"PRESIDENCIA";"LOGISTICA";""
"2783";"ROS - 347 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2641";"ROS - 302 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1780";"PR ENCARREGADO PICKING - T3";"PRESIDENCIA";"LOGISTICA";""
"2147";"GER ESG";"PRESIDENCIA";"ESG";""
"2402";"DML - 44 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1564";"RJ EQUIPE RECEBIMENTO - T2";"PRESIDENCIA";"LOGISTICA";""
"115";"GER DESENVOLVIMENTO ORGANIZACIONAL";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"85";"COORD TRIBUTARIA 2";"VP ESTRATEGIA E FINANCAS";"TRIBUTARIA E FISCAL";""
"1753";"RS EQUIPE PICKING/CONFERENCIA - T1";"PRESIDENCIA";"LOGISTICA";""
"3379";"DML - 625 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3326";"DML - 613 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3462";"MT EQUIPE D&E - T3";"PRESIDENCIA";"LOGISTICA";""
"2751";"ROS - 401 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3268";"EQUIPE ADMINISTRATIVA";"VP VAREJO";"OPERACOES VAREJO";""
"3122";"DML - 3 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"46";"COORD SUPRIMENTOS 2";"VP FINANCAS";"FINANCEIRO GRUPO";""
"215";"COORD PROJETOS VAREJO 2";"VP VAREJO";"OPERACOES VAREJO";""
"2426";"DML - 43 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3075";"TMO - 134 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3053";"TMO - 220 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1975";"EQUIPES AL";"VP COMERCIAL";"VENDAS";""
"2376";"DML - 606 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2063";"EQUIPE SISTEMAS GRUPO 2";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2545";"ROS - 301 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3624";"DML - 644 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2500";"DML - 619 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2250";"DML - 96 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3476";"GER PLANEJAMENOT FINANCEIRO VAREJO 2";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"3054";"TMO - 122 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2787";"ROS - 368 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"1497";"SUP CONTAS RJ / ES";"VP COMERCIAL";"VENDAS";""
"2264";"DML - 603 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"345";"SUP CALL CENTER HIBRIDO";"VP COMERCIAL";"VENDAS";""
"3367";"ROS - 464 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2157";"RJ ENCARREGADO ARMAZENAGEM - T3";"PRESIDENCIA";"LOGISTICA";""
"2904";"TMO - 147 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3072";"TMO - 129 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2506";"DML - 17 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3282";"RJ M&A - T2";"PRESIDENCIA";"LOGISTICA";""
"3576";"GER COMERCIAL SPECIALTY (CAMPO)";"VP SPECIALTY";"VP SPECIALTY";""
"184";"GER OPERACAO ROS";"VP VAREJO";"OPERACOES VAREJO";""
"2988";"TMO - 127 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1800";"MG EQUIPE PRODUCAO - T3";"PRESIDENCIA";"LOGISTICA";""
"1960";"EQUIPES SPC 3";"VP COMERCIAL";"VENDAS";""
"2932";"TMO - 105 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3663";"ES EQUIPE SPECIALTY CRDK";"VP SPECIALTY";"VP SPECIALTY";""
"3125";"DML - 626 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2914";"TMO - 119 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3734";"TMO - 233 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2292";"DML - 27 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2847";"TMO - 191 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2236";"RTM - INDEPENDENTES E ASSOCIACOES - EQUIPE";"VP COMERCIAL";"PLANEJAMENTO DE VENDAS";""
"194";"GER REGIONAL ROS 3";"VP VAREJO";"OPERACOES LOJAS";""
"2495";"DML - 59 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3296";"SUP CONTAS RJ";"VP COMERCIAL";"VENDAS";""
"3793";"PE EQUIPE M&A";"PRESIDENCIA";"LOGISTICA";""
"3403";"ROS - 415 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"447";"RJ ENCARREGADO EXPEDICAO - T3";"PRESIDENCIA";"LOGISTICA";""
"1883";"BA EQUIPE PRODUCAO - T2";"PRESIDENCIA";"LOGISTICA";""
"1666";"SUP SPC 2";"VP COMERCIAL";"VENDAS";""
"1690";"GO EQUIPE GPP";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2983";"TMO - 114 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3451";"EQUIPE ESPECIALISTA E-COMMERCE VAREJO";"VP VAREJO";"OPERACOES VAREJO";""
"3746";"ROS - 472 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2590";"ROS - 438 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"19";"GER SISTEMAS VAREJO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"3076";"TMO - 140 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2418";"DML - 624 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1850";"RN EQUIPE FATURAMENTO";"PRESIDENCIA";"LOGISTICA";""
"2785";"ROS - 360 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3163";"DML - 40 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3740";"TMO - 221 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3351";"DML - 626 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2877";"TMO - 127 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1809";"MG EQUIPE CUSTOS";"PRESIDENCIA";"LOGISTICA";""
"211";"COORD GC";"PRESIDENCIA";"SUPPLY CHAIN VAREJO";""
"2667";"ROS - 312 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2661";"ROS - 425 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2268";"DML - 85 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2069";"GER PLANEJAMENTO DE VENDAS";"VP COMERCIAL";"PLANEJAMENTO DE VENDAS";""
